,Category,Text
29,OutOfOffice,"Great to hear from you, and while I am out of the office for the holidays, returning on Monday, January 4, 2021, I will be checking emails. If you need immediate assistance, please call my cell: 312-890-8397. Wishing you and yours a safe and peaceful holiday season!"
30,OutOfOffice,Thanks for your email. I‚Äôm not in the office today. If your matter is urgent please call the office on 093620528 and one of my colleagues will be able to assist otherwise I'll respond to your email on my return. Warm regards
31,Deactivated,Im a little too old for this now.
32,Deactivated,"I am not interested in the franchise right now. Please do not send any
further mails."
33,SeekingMoreInfo,Sorry for not replying sooner. I appreciate the email but I live in fife in Scotland so I‚Äôm not why I have been emailed regarding this?
34,Unsubscribed,Stop emailing me!
35,SeekingMoreInfo,"Waiting for you to connect on given link.
Please respond."
36,ConnectLater,"Thanks for your email.
Due to the declaration issued by the CMDA, Government of Maharashtra, we have to keep all the operations closed till 14th April and hence would be unavailable till 14th April .
In case there is anything urgent and important pls call on the Mobile nos or drop a email. In case remote support is expected we would certainly try our best to extend the same .
Pls expect a delayed response for emails in this phase.
We do understand all of us are fighting this threat together for COVID19.
Do Take Care !!"
37,OutOfOffice,"Thank you for your message. I am out of the office on Friday, January 3. Please understand any delays in response. If you have an urgent need, please contact Jenny Witham at jwitham@deloitte.com or text / leave me a message at 617-279-3856."
38,Unsubscribed,Stop send email
39,Deactivated,"Greetings from UGES PowerMax..
as per trail mail right now hold this inquiry.
Thank you."
40,AgreedToMeet,You may call me on +91-9348145770
41,Deactivated,"Dear Tanvi - thanks but as of now, we aren‚Äôt looking at these services. If we do, will let you know. Take care."
42,Deactivated,"No, thank you.
Have a nice day."
43,SeekingMoreInfo,"Yash, this infographic may help understand ROI better.
Please check."
44,ConnectLater,"Thanks for your mail!
Month ago we already had a meeting with your team and they explained the range of services and products your organization is offering. For any future requirement in this field, we will contact you."
45,AgreedToMeet,"Thanks for your email. We prefer to arrange the meeting/discussion during
1st week of June 2020.
We are closed for Lockdown and Eidd Holidays next week."
46,Deactivated,"Thanks for your response.
But now we just hold our purchase plan for a uncertain period due to
Covid-19 lockdown."
47,Unsubscribed,Please take me off your list.
48,OutOfOffice,"Thank you for the email. I will be out of the office through Sept 27th, 2020 with very limited access to email/phone. I will do my best to respond promptly to your email upon my return."
49,Deactivated,"Thank you for reaching out, but we are not interested in this offer."
50,ReferredSomeone,I do not look at recruitments and hence you can connect with my colleague Vincent post May 2021
51,AgreedToMeet,Yes Please. You may contact me at 017-5152076 Monday at 10 AM.
52,Deactivated,"Thnaks for contating me. Presently i am working in UAE since last 7 years
and not looking for any relocations. Thanks for your concern anyways. Do
keep in touch."
53,OutOfOffice,"Thank you for your email.
I am on leave today.
If your matter is critical, please text me on 0415 748 450.
Otherwise I will reply to your emal tomorrow."
54,ReferredSomeone,Sorry. Can you please forward your mails to ritesh@polycrack.com?
55,Deactivated,Currently not interested.
56,OutOfOffice,"Thanks for your mail. I am in a full day workshop from 8th to 10th
Jan. Kindly account for delay in response."
57,OutOfOffice,"I am out of the office until 04/01/2021.
I am currently out of office and would reply your message once I am back.
For urgent matters please contact Dennis or Karishma of HR Dept."
58,AgreedToMeet,"Please call on 9810440890 to discuss further, with my father Sh. Akhilesh
Kumar Mishra (Advocate).
We are now in market to sell it, as well. Please let us know, if you could
assist with the same as well."
59,OutOfOffice,"Please note that I am on leave and will be back on 10 September 2020. For urgent HR related matters, please contact Grace Too at grace.too@jsafrasarasin.com."
60,OutOfOffice,"I am on leave till 3rd Jan 2021 and shall have limited access to
emails during this period.
Please ping on whatsapp in case there is something urgent."
61,OutOfOffice,"I am out of office on PTO through 12/18. For Support escalations or critical Support issues, please call Support on +1-888-463-6259."
62,Deactivated,"Thanks for the mail. As of now we are looking for consultancy.If anything
in future,will contact you."
63,ReferredSomeone,"Samuel Whiting is no longer with the company. For any questions, please contact Emil Kuriakose at ekuriakose@calithera.com and Keith Orford at korford@calithera.com."
64,OutOfOffice,"I‚Äôm out of office until Monday (5th October) with no access to emails. In urgent cases please reach out to Achim.Rosprich@bazaarvoice.com or text me. Else I will come back to you as soon as I return.
Many thanks,"
65,SeekingMoreInfo,"yes, i would like to learn more about this opportunity."
66,OutOfOffice,"I am currently out of the office. I will respond to all emails when I return.
Thank you"
67,Deactivated,"Thank you very much for reaching to us.
Currently we don‚Äôt have any scope oil purification and filtration.
We will get back to you , if we have any requirement in future"
68,SeekingMoreInfo,"Yes sure. I have cc‚Äôd some of our leadership team members here.
Thanks"
69,OutOfOffice,"Hi there, Thank you for your email. I'm currently on leave until 11th January and will check emails on my return. Wishing you a wonderful Christmas and New Year. All the best, Bel"
70,OutOfOffice,"Thank you for your email.
I am currently out of the office until Monday 18 January 2021.
Chisholm will close from Wednesday 23 December to Monday 4 January inclusive.
Outside of the Chisholm shut down, should your email be urgent, please feel free to contact: marketing@chisholm.edu.au<mailto:marketing@chisholm.edu.au> during operating hours.
Otherwise I look forward to responding upon my return.
Kindest Regards
Emily"
71,OutOfOffice,I am out on [USvacation][NOT USholiday] returning Aug 10th.
72,OutOfOffice,I‚Äôm currently out of the office. Happy holidays!
73,AgreedToMeet,"Yes, I am interested."
74,Unsubscribed,Jerry Lightcap is no longer a part of the company. Please send all inquiries to Roxy.Sucky@simplex-usa.com
75,OutOfOffice,"Thank you for your email. I will be out of the office until January 4, 2021. I will be checking email intermittently and will respond to your message as soon as possible. Thank you!"
76,OutOfOffice,"I am out of office and will resume on 4th Jan. Please expect a delay in response.
Thanks & Regards,
Zeeshan Khan"
77,ConnectLater,"Thank you for your email and introducing your company, we shall get in touch with you for future requirements
Regards,"
78,OutOfOffice,"?I will be out of the office Frfiday afternoon, September 11th."
79,OutOfOffice,"Thank you for your email. I am currently out of office.
For any important matters, please reach me on my mobile.
Thank you,"
80,OutOfOffice,Out of Office
81,SeekingMoreInfo,Thanks
82,AgreedToMeet,"We are looking for Electrostatic Liquid cleaner machines
Regards"
83,OutOfOffice,"Thank you for your note.
I am out of the office with limited access to e-mail and returning Friday, August 28th . Please contact Jamie Pratt at jpratt@spanopratt.com if this is urgent or you need an immediate response.
Thank you,"
84,ReferredSomeone,"I am on leave today. Please reach out to Mr Sabareesh Kurup for urgent matters.
Regards
Kamalesh"
85,Deactivated,"Sorry Shikha - way too busy and not interested.
Best of luck to you."
86,SeekingMoreInfo,"I hope you‚Äôre safe during these testing times. Got your reference from Rajeev Ranjan.
Coming to why I‚Äôm contacting you:
Are you guys still looking for an ASO agency?
Aakshey Talwar"
87,Unsubscribed,"Who is Peter? There is no Peter in our company.
Please stop spamming our mailbox.
Thank You"
88,ConnectLater,Following a busy schedule will connect in future.
89,OutOfOffice,Please take note that I will am currently out of the office with limited email access.
90,ConnectLater,"As of now we don‚Äôt have needs pertaining to your solutions. Will surely look forward in Future.
Regards
Jayapriya"
91,OutOfOffice,"Thank you for your email. I am out of the office on Friday, 8 November, on morning leave and at an event in the afternoon. I will respond to you when I am back in the office on Monday, 11 November."
92,SeekingMoreInfo,pls send your price details.
93,Deactivated,"The customer informed that the project is closed and they no longer
require the lubrication system.
Thank you for your interest."
94,Deactivated,Sorry Ma'am we are very busy here....Thanks for your kind invitation.
95,Deactivated,NO thanks
96,AgreedToMeet,We are already connected with Teena
97,ReferredSomeone,"I have now left Bazaarvoice.
Please email my manager James Hackett for any assistance.
James.Hackett@bazaarvoice.com"
98,Deactivated,"Thank you for the follow up.
I was looking forward for a US staffing franchise opportunity, I dont have
the expertise of domestic staffing.
Thank you for the opportunity though.
Regards
Akhtar Pasha Mohammad"
99,SeekingMoreInfo,"We discussed last week about our product offering and how we save O&M cost close to 25% approx..
Wanted to check if need any further information about Source-Right.
Please let me know
Warm regards
Sumanta"
100,OutOfOffice,"I will be out of the office on November 22, 2019 until December 02, 2019.
I will reply to all e-mails upon my return."
101,Deactivated,"thanks, I am doing quite well. I'm still happy regarding my work.
All the best,
Sven"
102,Unsubscribed,"This is an automated system notice to inform you that Richard Alley is no longer employed by Cook Inc..
If this correspondence was set in the interest of conducting business with Cook Inc., please feel free to contact Chris Mobley instead via the following methods:
Chris.Mobley@cookmedical.com
Or:
8004681379 x102332
Cell# (812) 322-7552
Please be aware that in order to maintain their privacy, we cannot provide specific forwarding or contact information about employees.
Sincerely,
Cook Inc."
103,SeekingMoreInfo,"If we talk about our client whom we give intern, they pay about in Range of 20k to 30K based on eligibility of intern.
Let‚Äôs set a call to discuss more..!!
Warm Regards
Bhagyesh Shinde"
104,Deactivated,We have no interest. Thank you.
105,AgreedToMeet,You can call
106,OutOfOffice,"I am on Sick leave today and will be accessing Emails intermittently .There could be delay replying to your Emails.
Thanks for your patience."
107,Deactivated,"We currently do not have any staffing needs
Thanks for reaching out"
108,ReferredSomeone,"Thank you for your email, Allmetal Recycling acquired the assets of Glickman Metal Recycling on October 30, 2019. Please email your request to Craig McCollar Craig@allmetal-recycling.com<mailto:Craig@allmetal-recycling.com> or Dispatch@allmetal-recycling.com<mailto:Dispatch@allmetal-recycling.com>. You can also call Craig McCollar at 316-993-8272 with any questions."
109,SeekingMoreInfo,"Thank you for your e-mail / application.
We will revert back to your enquiry in due course.
If your e-mail is regarding a job application, we will review your CV within 7 days and contact you should your qualifications meet the requirements of any vacant positions that we may have.
Please note that if you have not been contacted within 7 days then it is fair to assume that due to a number of possible reasons your application will not be pursued further in this instance.
We will, however, retain your details on our database and contact you with any suitable opportunities in the future.
Passionate about construction? Follow our company page on LinkedIn to be kept updated on the latest industry news: https://www.linkedin.com/company/linum-consult/
Regards"
110,SeekingMoreInfo,"Can you please send me some more information. Website details and your
company brochure? If possible any videos to understand the requirements"
111,AgreedToMeet,"Sure. Thanks for the update.
Sanju"
112,SeekingMoreInfo,Anwesha is still waiting for you to join their team
113,AgreedToMeet,"Here is our latest brochure with pricing and other information. We had a
few new features as well.
Thanks
Sanju"
114,Deactivated,"Hi. This is the qmail-send program at mail.hostingplatform.com.
I'm afraid I wasn't able to deliver your message to the following addresses.
This is a permanent error; I've given up. Sorry it didn't work out."
115,OutOfOffice,Ôªø I am out of the office with limited access to email from 8/10 through 8/14.
116,Deactivated,"Hello, Riverside Scrap Iron & Metal Corp. is no Longer in Business
Regards,"
117,OutOfOffice,"OUT OF OFFICE ALERT:
I will be out of the office returning 1/4/2021. Please reach out to your customer service team for immediate load execution issues.
Regards,
Jeff Hoisington"
118,SeekingMoreInfo,"Thanks for reply .
Do let us know if we can add some value added service from our site like campus recruitment free of cost .
You can hire the screen intern from us free of cost ."
119,OutOfOffice,I am on leave and will return to work on Monday 23/11/2020.
120,AgreedToMeet,"Hoping to hear from a real person.
Happy to have a conversation thereafter.
Thanks,
Shantha"
121,AgreedToMeet,Sure Varsha. Let me know if there‚Äôs an update.
122,SeekingMoreInfo,"Could you please give a call for further discussion.
Happy new Year"
123,OutOfOffice,ÔªøThank you for your email. I am on leave on Friday 13th November and I will reply to your email when I return.
124,AgreedToMeet,"I have passed the info to my contacts to contact you directly for any
assistance on the units.
Wil keep you posted if anything arises.
Thanks"
125,SeekingMoreInfo,"Thanks Karan. Farhan, can you pls share your number? Mine is 9910623813."
126,ConnectLater,"Yes you can call after 11am.
Regards
Gaurav Modi"
127,Deactivated,"Sensitive
Hi Ashley:
Thank you for reaching out.
I am on the market/business side of IT so am not responsible for Parsons SAP environment.
I'm not interested in a call to learn more at this time due to existing commitments.
Best regards,
Bruce"
128,Unsubscribed,Hi Aarti - I‚Äôm not interested at this time. Please remove me from your contact list.
129,ReferredSomeone,"Thanks for your mail. Am currently unavailable. Please reach out to Jitendra for any support.
Thank you."
130,OutOfOffice,"Hi - thanks for your email
I am on annual leave until Friday 15th January
During this time, I will only be checking my emails intermittently and response will be delayed."
131,OutOfOffice,"Thank you for your email. I am currently out of the office, returning 26th May 2020.
Thanks and regards
Nilankur"
132,OutOfOffice,"We acknowledge the receipt of your email. Our office will remain
closed till Monday, (29.06.2020) Due to which responses to the emails
will be delayed.
In case of any urgency you can contact the respective team member on
his/her mobile number.
With regards"
133,AgreedToMeet,"Glad to receive you mail. I‚Äôm certainly more than happy to run into a SKYPE call to understand better on your offerings. I‚Äôm thinking of arranging for a SKYPE call somewhere after 20th Mar.
TQ"
134,AgreedToMeet,"Thanks for your mail and you can reach me on 98450 33188.
Regards,"
135,Deactivated,"No thanks, we don't handle Oil/lubrication systems"
136,ConnectLater,"I am on leave today. Please call me at 9740113131 for anything urgent.
Thanks"
137,OutOfOffice,"I am out of the office with no access to email. I will reply to your email after I return.
Thank you."
138,Deactivated,"Thank you for your email.
However, we already have engaged a Payroll Services and we are happy with
their services.
Thank you and kind regards"
139,ConnectLater,"Regret that we couldn't connect today as I was pre-engaged and wasn't aware
of this unscheduled conversation.
Here is the link for you to pick your best time to schedule a call with me"
140,AgreedToMeet,"my mobile phone number is +49 172 989 7062.
You can call me any day. I have vacation so I¬¥m free the whole day.
Just please tell me approximately when You will call.
Kind regards
Sandro Milosevic"
141,Unsubscribed,"This is an automated system notice to inform you that the person you are attempting to reach is no longer employed by COOK Medical Incorporated.
If this correspondence was sent in the interest of conducting business with COOK Medical Incorporated, please feel free to contact Johnny Leblanc instead"
142,OutOfOffice,"Thank you for writing in. I am out of office until Jan 11th 2021. I
will respond to your email once I am back on Monday. For anything that
cannot wait, please contact isaac.kimani@samasource.org
Regards
Surabhi"
143,Deactivated,Sorry. I am not aware of it.
144,OutOfOffice,"I will be out of the office until Monday, January 6th with limited access to email. I will respond to your message when I return."
145,ConnectLater,"Vaishali, can you reschedule this? Shikha hasn't accepted the invite."
146,ReferredSomeone,"I am currently on Sebbatical and have no access to my emails. Please contact either Peter Newton (Mechanical Engineering Dept. Manager) 07970679349 or Joe Charles (Engineering Manager, Digital) 07941193463 who will be able to help.
Thank you
Anthony"
147,ReferredSomeone,"Please direct Denios Inc business communications previously addressed to Karen Cain at kcain@denios-us.com to Carol Bender at cbender@denios-us.com.
The email address kcain@denios-us.com will become inactive.
Thank you!"
148,Deactivated,"I am sorry that our business is not related to Oil Purification.
Sincerely,"
149,Unsubscribed,Thank you for your message. I have retired and will no longer be responding to messages from this email address. Please contact the main office at (414) 271-5350 for assistance.
150,Deactivated,"Not at this time, but thank you!"
151,OutOfOffice,"Thank you for your email. I am currently on annual leave returning 11/01/21.
Otherwise, enjoy the festive break and see you in 2021.
Kind Regards,
Tully"
152,ConnectLater,"At present no requirement, If needed I will get back to you later...
Thanks"
153,OutOfOffice,"Hello, Thanks for your message. I will be out of the office the afternoon of Friday, July 17th, returning on Monday. If this matter is urgent, please do not hesitate to call me on my cell phone at 720-243-1119. Thanks, and have a great weekend! PG"
154,SeekingMoreInfo,"I am looking for some bisuness opportunity and some work from home opportunity with reason of this Covid situation.
Here I add my contact no, if u have some work from home activies, then contact me.
Thank You,"
155,ReferredSomeone,"THIS IS AN OUT OF OFFICE NOTIFICATION - I am currently OOO with limited access to my email or phone until 9/14. Please re-direct your inquiries to nationalaccounts@protolabs.com or call (763-479-3680) for a faster response time.
Thank you!"
156,OutOfOffice,"I am out of the office for Wednesday afternoon, Thursday, and Friday.
If the request is urgent please text me on my cell phone."
157,OutOfOffice,"Thanks for your mail.
I am on Christmas Vacation until 31st December'2020 , I will check my mails ,but for any urgent matters , you may call on my handset No: 9821360352.
thanks.
Best Regards
Judith Antao
Head HR"
158,ConnectLater,"Would have loved to come but its working out too expensive.
Maybe next year.
Thanks"
159,AgreedToMeet,"Good morning!
Apologize for a delayed response here. Had a medical emergency at home so
could not respond.
Lets have a call today in the second half to understand the platform and
explore the business opportunity for us both here.
Can we have a call at 3 pm? Do let me know if the time is suitable.
Regards,"
160,OutOfOffice,"Hello, thanks for your email!
I am out of office, returning Monday July 20th. During this time, responses may be delayed."
161,ReferredSomeone,"Thanks for your email. This inbox is not monitored in real time. If you need to get in touch with us urgently, please call us on 03 9963 4888 to ensure we are actioning your request."
162,AgreedToMeet,We can connect tomorrow at 1PM @ 7771913405
163,SeekingMoreInfo,"Just out of curiosity..what are your commission charges and what services
do you offer?
For example if I want my property tax to be paid, can thos be arranged?
Thanks and regards
Emil"
164,OutOfOffice,"I am currently away from the office and returning on Tuesday, July 2nd, 2019."
165,Deactivated,"Appreciate you taking the time out and writing to me. At this point there
is a hiring freeze due to the COVID situation and hence no mandates will be
shared with your team.
I want to wish you and your entire team a Happy New Year which will be full
of success and joy.
Kind regards,"
166,Unsubscribed,Unsubscribe
167,ReferredSomeone,"Thank you for having contacted Marshall McCausland. As of May 2nd, 2019, he is no longer working at Alithya Group. Please direct any future correspondence or requests to Jonathan Bemmi at jonathan.bemmi@alithya.com.
Best regards,"
168,OutOfOffice,"Thank you for your email!
Please be advised that I am currently out of office.
Should you have any urgent requirements please contact the EX Resource Center<https://sites.google.com/a/forrester.com/how-to-forrester/howto-s/strategic-growth/how-to-contact-the-global-strategic-growth-resource-center-sg-forryou>.
Alternatively I will revert on my return.
Kind Regards,
Himanshu"
169,OutOfOffice,"I am currently on PTO with limited to no access to emails or voicemails.
For any sales inquiries, please note the heartbase administrative
offices are fully open December 22nd and 23rd, but will be closed
December 24th and 25th. Please contact Alex Potanos,
apotanos@heartbase.net or 773-267-7400, with any immediate questions.
If you have a technical support need, please contact
support@heartbase.net or 773-267-7400.
I will return all messages on December 28th.
Thank you and Happy Holidays!
Kindest Regards,"
170,ConnectLater,"Thanks for your mail. We will get back to you in due course.
Please don't print this e-mail unless you really need to.
Regards"
171,Deactivated,"Thank you for your email and your service. However, we are also an recruitment agency and do not need your service at this time.
Kind regards
Melanie"
172,AgreedToMeet,"Apologize for the late reply, I‚Äôll be available today, any time after 13.00 PM Jakarta time.
I‚Äôd prefer teams or skype for the conversation.
Looking forward for the invitation
Best Regards
Dikha"
173,OutOfOffice,"Thank you for your message.
I am currently out of the office and I will be back on 24 december.
Your email will not be forwarded, I will answer it when i am back.
For urgent matters please contact tss-service.BE@tomra.com
Thank you for your understanding
Marian Popa"
174,AgreedToMeet,"Thank you for your email and follow ups and apologies for the delay in replying due to current situations . We are an oil field supplies and services company offering products and solutions as reflecting in our profile and we represent over 16 principles under various product categories . Our offerings reach to petrochemical, power, industrial and infrastructure industries
I believe your product range can fit into our process and services segment . please advise if you already have any representation in UAE . The reason is, if we have to promote Minimac in ADNOC group of companies, we need to go thru a process of signing an agency agreement and further applying for prequalification process which will take around 3-6 months‚Äô time .
I would suggest to have a call next week to discuss expectations both the ends and draw a way forward .
You can propose a zoom call for Monday around 11 AM UAE time and send a meting invite .
Best Regards"
175,OutOfOffice,"I will be out of office starting from 18th Dec 2020 till 4th Jan 2021.
During this period, I will have limited access to my emails and will try my best to reply to you soonest possible.
Merry Christmas & Happy New Year!!
Warm Regards,
Beulah Joseph."
176,Deactivated,"Thank you, but at this stage I don‚Äôt require your assistance.
Have a lovely day"
177,OutOfOffice,"Thank you for your e-mail. I am traveling for work and will respond to you on my return to office on 27th January. If there is anything urgent, please write to my colleague Anju Agrawal at anju.agrawal@tandfindia.com
Best wishes,
Anjali"
178,OutOfOffice,"I am out of office and return on 23-May-2019. Will not have access to email
till then.
Regards
GG"
179,Unsubscribed,"No Thankyou
Unsubscribe"
180,OutOfOffice,"Thank you for your e-mail! Please note that I will be out of the office Thursday and Friday, June 4th and 5th. I will return to the office Monday. If this is an emergency, please dial the 888-730-2774 to be directed, or you can email Ellie Elphick at eelphick@buchanan.com.
Thank you."
181,OutOfOffice,"Thank you for your email, I am currently on annual leave until the 24th September.
If your enquiry is of an urgent nature, please contact the International Division on 0207 9404460 or lukes@carnival.com and they will be delighted to assist.
Many thanks
Iain"
182,OutOfOffice,"Hello, I am out of the office and returning on December 30th.
Please reach out to Janissa Browne for all NBO related queries.
For questions pertaining to Living Benefits, please contact Cody Brown.
For all Privacy Breaches please reach out to Kevin Hilchey.
For anything related to RPA or Anchor Watch please contact Robert MacDonald
Best Regards,
Conor Feehan"
183,OutOfOffice,"I will be out of the office on vacation Friday September 11th and will return to the office on Monday September 14th. I will have limited email and phone access during this time. If you need immediate assistance please call the office at 210.227.3141.
Thanks,"
184,OutOfOffice,"I am currently on vacation, and will return to the office on Monday 30th November. I will have no access to email. If it is urgent please contact Mariska van Adrichem at the Andritz Gouda office in Holland"
185,AgreedToMeet,Tried calling you. But the no is invalid. Pls call me back. 9910623813.
186,OutOfOffice,"Thank you for your message. I am on leave till 27th Aug 20, kindly expect delay in response. In case of urgency please call on 9820041226.
Regards,
Nilesh Patil"
187,ConnectLater,"Thanks for this valuable information,
Please allow me to go through it and come back to you soon.
Regards"
188,Unsubscribed,Not interested
189,ReferredSomeone,"MY MAIL ID IS CHANGED & NOW NEW MAIL ID IS AS BELOW, THIS REDIFF MAIL ID IS NULL & VOID,PLS SEND MAIL ONLY ON GMAIL ID. SORRY FOR INCONVENIENCE.
NEW ID--
SHREEMENTERPRISES13@GMAIL.COM"
190,SeekingMoreInfo,"Could you please send me your proposal?
Thanks
Deepti"
191,ReferredSomeone,"I wanted to inform you that I have changed my primary email address to manoj_bisht@shinryosuvidha.co.in. Please update my contact information in your address book and direct your messages to my new email address.
Your messages are important to me, thanks for keeping my information up to date.
Sincerely,
Manoj Bisht"
192,ReferredSomeone,"Please contact Marvin Frazer for production and scheduling concerns at MarvinF@laserfabusa.com
Please contact Larry Olson for purchasing or facility concerns at LarryO@laserfabusa.com"
193,ReferredSomeone,Live Chat conversation has been assigned to you by Aman Sawarkar
194,Deactivated,"Thanks but No thank you
Appreciate your email
Thank you and Best Regards"
195,OutOfOffice,"Since i am on leave, for any requirements, kindly contact Mr. Murugan - Sr. Manager - Finance.
Email: Murugan.K@otis.com
Mobile: 99406 54886
Regards,
RK. Supriya."
196,AgreedToMeet,"Saikat from my team has already been in touch with you. He will follow up.
Regards"
197,SeekingMoreInfo,"Can you brief me what is it regarding and how was my email I'd passed to you ?
Thanks,
Chetan"
198,AgreedToMeet,"Glad to hear that. We are happy to look at the requirements you have at the moment.
I am available to have a call anytime as per your convenience.
Warm Regards,"
199,OutOfOffice,I am currently on Annual Leave please call my mobile for anything urgent 0427 527 360.
200,OutOfOffice,"**Out of office alert**
Please note for Friday December 20th thru to Monday December 23rd, I will be out of the office and will be returning on Tuesday December 24th. I will respond to all to e-mails and v-mails periodically, but expect a delay in my response.
Manage Subscription<https://www.softchoice.com/subscribe> - Unsubscribe<https://www.softchoice.com/subscribe> - Privacy<https://www.softchoice.com/help/privacy> ? Vos abonnements<https://www.softchoice.com/subscribe?store=fr-CA> - Se d?sabonner<https://www.softchoice.com/subscribe?store=fr-CA> - Protection de la vie priv?e<https://www.softchoice.com/help/privacy>"
201,Deactivated,"Please remove me from your mailing list. Thank you.
Best regards,"
202,OutOfOffice,"Thank you for your email.
I will be on leave until January 5th. During this time I will have limited access to email.
For any urgent matters, please contact the Research Centre Administrator, Peter Mulherin (peter.mulherin@summerfoundation.org.au<mailto:peter.mulherin@summerfoundation.org.au>)
Thanks,"
203,OutOfOffice,"Thank you for your email.
I will be back online on 15th Jan 2021
Regards
Krishna Potnis"
